Time,Temp,RH,Fig1v,Fig2v,ELT,e2vO3v,e2vNO2v,AH,Fig1r,Fig2r,Actd,Acet,Benz,C8,C9,Form,Meth,Tol,CH4,CO,O3,NO2,CO2,T_Plat,RH_Plat,H2S
735797.995824653,29.55,26.525,27.25,30,174.625,23,43.25,0.0132710213834265,0.692941317941318,0.728205128205128,0.609,2.81233333333333,0.04125,0.02475,0.01525,2.77525,5.84675,0.03575,1.88975,60.3399,55.945,2.6175,381.9895,24.09,34.98,0.02875
735797.998619792,29.4125,26.05,27.125,30.25,175.125,22.5,40,0.0129313258824202,0.696089684726048,0.722155264090748,0.6045,2.824,0.062,0.01575,0.00775,3.00925,5.6695,0.052,1.886925,63.2555,56.7925,2.6525,382.3145,23.8875,34.63,-0.08425
735798.001724537,29.32,26.82,27,30,174.4,22.4,39.4,0.0132420271467572,0.699354657687991,0.728205128205128,0.6294,2.9008,0.0712,0.021,0.0188,2.8602,5.6328,0.0656,1.88486,63.97478,56.162,2.656,381.9784,24.108,34.852,-0.0642
735798.004840856,29.4,27.1125,28,30,174.75,23.125,43.25,0.0134490960026067,0.673701298701299,0.728205128205128,0.639333333333333,2.84125,0.07075,0.02425,0.02325,2.911,6.0335,0.07275,1.889325,67.2782,55.47,2.7475,382.17925,24.19,35.8,-0.192
735798.007631655,29.0375,26.8,27.5,30.5,174.75,22.625,38.5,0.0130181985286938,0.686527978194645,0.716105399976368,0.613,2.8725,0.069,0.03025,0.0215,2.84825,5.7415,0.062,1.89775,70.9764,55.7225,2.8425,384.69375,24.2925,34.4625,-0.059
735798.010766204,29.06,26.81,27,29.6,174.3,22,39.2,0.0130397823937758,0.699354657687991,0.738552482000758,0.6444,2.867,0.0706,0.038,0.0176,3.0598,5.7348,0.079,1.89068,74.8315,55.76,2.8,384.7484,24.144,34.58,-0.0132
735798.013871528,28.75,26.475,27,29.5,173.5,22,36.5,0.0126475562664764,0.699354657687991,0.741139320449665,0.639,2.801,0.075,0.0525,0.01875,2.94025,5.79425,0.1005,1.892075,80.885375,56.2825,2.5875,385.89575,23.9775,34.48,0.023
735798.016666667,29.175,26.8125,27.75,30,175,23,42.5,0.0131277648151479,0.680114638447972,0.728205128205128,0.6,2.79975,0.0875,0.03975,0.02025,3.04733333333333,5.77233333333333,0.08725,1.922025,80.695,55.32,2.83,386.17925,23.9675,34.645,-0.01775
735798.019782407,28.86,26.67,27.1,29.4,174.8,22.2,38.1,0.0128225950196215,0.696742679318437,0.743726158898573,0.6158,2.7746,0.0674,0.0368,0.0206,3.004,5.6866,0.0714,1.90434,85.5936666666667,55.27,2.902,385.8284,23.978,34.858,-0.1366
735798.558689815,19.97,66.62,42.8,34,185.4,105.4,385.9,0.0187746746055844,0.449253490352562,0.668630136915257,1.204,3.637,0.4934,0.444,0.1714,3.30625,9.3752,0.9072,2.63254,122.19038,12.398,18.702,434.1584,17.406,78.13,0.9972
735798.561799769,21.875,59.45,37.5,21.5,183,74.125,257.5,0.0188581902510235,0.498324281219018,1.02763240899887,1.19025,3.63,0.50125,0.4015,0.15,3.54225,9.31025,0.946,2.629825,116.910925,13.155,17.0725,431.83125,17.805,75.66,0.53625
735798.56493287,22.66,56.21,37.4,19,181.2,63.5,224,0.0187042130187088,0.499703651019441,1.16252168883748,1.2128,3.6188,0.534,0.3318,0.135,3.6694,8.8038,0.818,2.53052,105.6769,17.284,15.772,422.1816,17.398,76.78,0.465
735798.568052662,22.7375,53.5625,36,19.25,179.75,55,200.375,0.0179085899554752,0.519781144781145,1.14771544245228,1.24475,3.87075,0.48975,0.32225,0.11675,3.53525,8.44625,0.7385,2.371675,101.3947,20.46,14.725,417.748,17.9575,73.525,0.546
735798.571164352,23.48,51.75,36,21.2,179.5,51.8,197.1,0.0180963860374418,0.519781144781145,1.04094381808668,1.3706,4.0238,0.4306,0.3344,0.1288,3.2904,8.5986,0.6912,2.38012,102.56222,21.566,13.826,418.4786,18.86,70.908,0.375
735798.574308449,24.0625,48.9375,37.75,22.625,180.5,51,186.125,0.0177255565770554,0.494875856717962,0.973077164381512,1.51225,4.1265,0.39125,0.36075,0.14175,4.2005,8.83275,0.6145,2.3629,181.51625,23.0325,13.69,419.906,18.6225,70.7375,0.45825
735798.577425926,24.54,47.44,37.4,23.6,180,50.2,179.6,0.0176831988397587,0.499703651019441,0.932059245102723,1.4678,4.186,0.4264,0.34,0.13825,4.334,8.9346,0.7058,2.33534,211.22468,23.768,13.684,420.1766,18.904,69.39,0.432
735798.580898148,24.37,47.98,36.4,24,178.8,47.2,172.5,0.017704576557374,0.514123539123539,0.915750915750916,1.4596,4.2334,0.394,0.31475,0.1288,4.0418,8.8686,0.641,2.32058,131.0122,23.798,13.338,418.3716,18.486,71.048,0.3994
735798.584019097,23.8125,47.775,35.25,24.75,178.5,44.875,158.375,0.0170494169230485,0.531325156325156,0.887619047619048,1.5555,4.4935,0.314,0.30175,0.126,3.8835,8.89125,0.5595,2.29985,95.011675,25.665,13.1225,419.62925,18.75,68.9775,0.39075
735798.586811343,23.8625,47.775,34.75,24.25,179.25,43.125,154,0.017098180213119,0.539247517188694,0.906373626373626,1.57925,4.4825,0.40325,0.34575,0.12725,4.07825,8.7705,0.663,2.2871,91.596175,26.3525,13.485,419.07925,18.725,68.94,0.316
735798.589924768,24.26,47.42,36,25,179.2,43.6,159,0.0173819474951283,0.519781144781145,0.878241758241758,1.535,4.3902,0.4926,0.344,0.13,4.4242,8.9824,0.7172,2.3069,85.50024,26.112,12.928,417.6984,18.93,69.438,0.4442
735798.593398148,24.68,46.68,36,25.4,179.1,42.8,155.6,0.0175453692434312,0.519781144781145,0.864392223161454,1.5446,4.4608,0.4758,0.3422,0.1286,4.3556,8.9168,0.72375,2.2937,79.78756,27.006,12.542,417.3184,19.392,67.296,0.5722
735798.596521991,24.9,45.0125,35.25,26,180,41.25,146.25,0.0171449927540985,0.531325156325156,0.843617920540998,1.5605,4.657,0.40625,0.37525,0.13675,4.0845,8.9565,0.72375,2.276325,81.193025,28.725,12.84,417.325,19.6625,65.0575,0.4625
735798.599650463,25.54,42.63,35.8,26.2,179.4,41.7,146.9,0.0168633930283354,0.523192348192348,0.83720609874456,1.5806,4.6928,0.4185,0.3768,0.1336,4.4332,8.7344,0.6804,2.26058,119.4897,29.17,12.964,416.745,20.028,62.542,0.378
